t2,d1,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3
t2,d2,2,3,2,2,3,2,2,2,2,1,2,2,2,3,2,2,3,2,1,3,2,3,2,2
t2,d4,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
t2,d5,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1
t3,d1,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3
t3,d2,2,3,3,0,3,3,1,2,2,3,2,1,1,1,2,3,3,3,1,3,2,1,2,2
t3,d4,1,1,1,0,2,2,1,1,1,1,0,2,1,1,1,1,1,1,0,3,1,0,1,1
t3,d5,1,1,1,0,1,2,0,1,1,1,0,2,1,0,0,1,2,1,2,2,1,1,1,0
t4,d1,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
t4,d2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
t4,d4,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,1,0,1,0
t4,d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
t5,d1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3
t5,d2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3
t5,d4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0
t5,d5,0,1,1,1,1,1,0,0,2,0,0,1,0,1,1,1,3,0,0,1,1,1,0,0
